hq,pricePerUnit,quantity,buyerName,onMannequin,timestamp,worldName,worldID
True,2672,99,Camellia Yagami,False,1710918098,Gilgamesh,63
True,2672,99,Camellia Yagami,False,1710918097,Gilgamesh,63
True,2672,99,Camellia Yagami,False,1710918096,Gilgamesh,63
True,2672,99,Camellia Yagami,False,1710918095,Gilgamesh,63
True,2600,99,Ryuujin Jizutsu,False,1710916022,Gilgamesh,63
True,2600,99,Night Raid-,False,1710915369,Gilgamesh,63
True,2600,99,Night Raid-,False,1710915367,Gilgamesh,63
True,3089,99,Astrea Lin,False,1710911736,Faerie,54
True,3088,99,Gurrarn Zirnfarr,False,1710911652,Faerie,54
True,3089,33,Arculus Darg,False,1710910544,Faerie,54
True,3088,99,Di'irk Diggler,False,1710910512,Faerie,54
True,2660,99,Dylan Traver,False,1710909582,Gilgamesh,63
True,2839,99,Raye Sentoki,False,1710906691,Adamantoise,73
True,2839,99,Raye Sentoki,False,1710906689,Adamantoise,73
True,2674,25,Apollia Azalea,False,1710906325,Gilgamesh,63
True,2813,25,Phaunna Kyo,False,1710906283,Midgardsormr,65
True,2813,99,Phaunna Kyo,False,1710906281,Midgardsormr,65
True,2800,33,Phaunna Kyo,False,1710906280,Midgardsormr,65
True,2813,99,Phaunna Kyo,False,1710906279,Midgardsormr,65
True,2813,99,Phaunna Kyo,False,1710906277,Midgardsormr,65
True,2813,99,Phaunna Kyo,False,1710906275,Midgardsormr,65
True,2813,99,Phaunna Kyo,False,1710906274,Midgardsormr,65
True,2805,99,Artemis Tanshi,False,1710905772,Jenova,40
False,1500,3,Haru Sakura,False,1710905237,Faerie,54
True,2840,25,Kanae Moonlight,False,1710904681,Adamantoise,73
True,2806,25,Melo Sol,False,1710904118,Jenova,40
True,2997,25,Adilus Beirne,False,1710903780,Gilgamesh,63
True,2997,25,Adilus Beirne,False,1710903779,Gilgamesh,63
True,3089,33,Medreth Clarke,False,1710903601,Faerie,54
True,2807,33,Shiro Raitoningu,False,1710903554,Jenova,40
True,2807,33,Shiro Raitoningu,False,1710903552,Jenova,40
True,2807,33,Shiro Raitoningu,False,1710903550,Jenova,40
True,5493,66,Arisu Ahane,False,1710903416,Faerie,54
True,2800,99,Anne Sibyl,False,1710903303,Jenova,40
True,2689,20,Shironeko Chung,False,1710903198,Gilgamesh,63
True,2689,20,Shironeko Chung,False,1710903195,Gilgamesh,63
True,2842,33,Strange Illusion,False,1710902253,Adamantoise,73
True,2841,99,Uros Avasera,False,1710902241,Adamantoise,73
True,2964,99,Soraya Alcyone,False,1710902206,Cactuar,79
True,2964,99,Capri Sun,False,1710902056,Cactuar,79
True,2800,33,Heavenly Light,False,1710902054,Midgardsormr,65
True,2978,20,Gyr Bal'thr,False,1710901974,Cactuar,79
True,2978,20,Gyr Bal'thr,False,1710901972,Cactuar,79
True,2813,25,Breeze Moonsworn,False,1710901927,Midgardsormr,65
True,2813,25,Breeze Moonsworn,False,1710901793,Midgardsormr,65
True,2813,25,Aonnyx Avarice,False,1710901768,Midgardsormr,65
True,2800,33,Aonnyx Avarice,False,1710901764,Midgardsormr,65
True,3088,99,Dani Muztang,False,1710901451,Faerie,54
True,2810,3,Taeryn Rynn,False,1710900992,Jenova,40
True,3088,99,Intriquality Vega,False,1710900703,Faerie,54
True,2843,99,Mathye West,False,1710900414,Adamantoise,73
True,2808,99,Karma Caelestis,False,1710900228,Jenova,40
True,2848,99,Shizuya Tamaran,False,1710900118,Sargatanas,99
True,2964,99,Micaiah Yune,False,1710900070,Cactuar,79
True,2848,99,Eent Ert,False,1710900045,Sargatanas,99
True,2808,99,Hanekawa Kett,False,1710899951,Jenova,40
True,2997,25,Mefiex Fermatus,False,1710899525,Gilgamesh,63
True,2845,99,Yappo Nappo,False,1710898991,Adamantoise,73
