hq,pricePerUnit,quantity,buyerName,onMannequin,timestamp,worldName,worldID
True,2974,20,Reina Uberall,False,1710716774,Gilgamesh,63
True,1850,30,Elsha Linnette,False,1710421123,Midgardsormr,65
True,2996,24,Samara Hana,False,1710418635,Adamantoise,73
True,2997,99,Samara Hana,False,1710418634,Adamantoise,73
True,2000,33,Sair Hyskaris,False,1710347949,Gilgamesh,63
True,2900,30,Sair Hyskaris,False,1710347948,Gilgamesh,63
True,2000,33,Sair Hyskaris,False,1710347947,Gilgamesh,63
True,2900,99,Sair Hyskaris,False,1710347945,Gilgamesh,63
True,3100,30,Astrienne Trearelle,False,1709953771,Faerie,54
True,3100,30,Astrienne Trearelle,False,1709953769,Faerie,54
True,2411,11,Astrienne Trearelle,False,1709953768,Faerie,54
True,4999,6,B'ongo Cat,False,1709909326,Adamantoise,73
True,8000,15,Ola Eldevik,False,1709870569,Jenova,40
False,3095,3,Izayoi Kurokawa,False,1709778064,Gilgamesh,63
True,2105,30,Kyou Kiri,False,1709697742,Sargatanas,99
True,5000,5,Buns Mcgruber,False,1709697732,Adamantoise,73
True,5000,6,Buns Mcgruber,False,1709697730,Adamantoise,73
True,4999,1,Buns Mcgruber,False,1709697728,Adamantoise,73
True,4998,75,Delubrum Reginae,False,1709683124,Adamantoise,73
True,1105,1,Mym Brunhilda,False,1709611424,Gilgamesh,63
True,83,36,Astral Skye,False,1709603048,Cactuar,79
True,3000,99,Virtus Pendragon,False,1709544615,Gilgamesh,63
True,2999,36,Eat Pluto,False,1709541790,Gilgamesh,63
True,2666,33,Guardian War,False,1709534608,Midgardsormr,65
True,2666,33,Guardian War,False,1709534606,Midgardsormr,65
True,4998,10,Rad Akali,False,1709450882,Adamantoise,73
True,4998,10,Rad Akali,False,1709450881,Adamantoise,73
True,14999,33,Lemon Manderville,False,1709410007,Cactuar,79
True,4999,10,Senju Flyin,False,1709391117,Adamantoise,73
True,2105,65,Finn Human,False,1709356284,Sargatanas,99
True,5000,4,Jas Brar,False,1709348669,Adamantoise,73
True,5000,1,Vae Violet,False,1709057563,Faerie,54
True,1499,16,Matty Katos,False,1708988071,Siren,57
True,4999,15,Rad Akali,False,1708928873,Adamantoise,73
True,4999,15,Rad Akali,False,1708928872,Adamantoise,73
True,4999,15,Rad Akali,False,1708928871,Adamantoise,73
True,4999,15,Rad Akali,False,1708916720,Adamantoise,73
True,2500,45,Seanathan Tempest,False,1708817338,Gilgamesh,63
True,2498,78,Seanathan Tempest,False,1708817335,Gilgamesh,63
True,2450,99,Seanathan Tempest,False,1708817329,Gilgamesh,63
True,2499,12,Q'ras Ixzee,False,1708770230,Gilgamesh,63
True,2450,99,Knight Lionheart,False,1708767350,Gilgamesh,63
True,2499,10,Be Bop,False,1708666496,Gilgamesh,63
True,4464,99,Flourishing Sorrow,False,1708630008,Jenova,40
True,4165,3,Flourishing Sorrow,False,1708629988,Jenova,40
True,3399,3,Quiquinque Quinque,False,1708594530,Faerie,54
True,1100,98,Cy Cal,False,1708471340,Siren,57
True,1500,5,Kyo Bert,False,1708297745,Jenova,40
True,975,3,Kyo Bert,False,1708297744,Jenova,40
True,974,99,Kyo Bert,False,1708297742,Jenova,40
True,15000,30,Kyo Bert,False,1708296438,Cactuar,79
